Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,China range keyword species count,Example China-tagged species
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Ianthocincla,,3,黑额山噪鹛 (Ianthocincla sukatschewi); 大噪鹛 (Ianthocincla maxima); 白点噪鹛 (Ianthocincla bieti)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Calliope,,3,金胸歌鸲 (Calliope pectardens); 黑喉歌鸲 (Calliope obscura); 白须黑胸歌鸲 (Calliope tschebaiewi)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Enicurus,,3,小燕尾 (Enicurus scouleri); 黑背燕尾 (Enicurus immaculatus); 灰背燕尾 (Enicurus schistaceus)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Larvivora,,3,日本歌鸲 (Larvivora akahige); 红尾歌鸲 (Larvivora sibilans); 棕头歌鸲 (Larvivora ruficeps)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Muscicapa,,3,灰纹鹟 (Muscicapa griseisticta); 棕尾褐鹟 (Muscicapa ferruginea); 褐胸鹟 (Muscicapa muttui)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Niltava,,3,棕腹大仙鹟 (Niltava davidi); 棕腹蓝仙鹟 (Niltava oatesi); 台湾蓝仙鹟 (Niltava vivida)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Phoenicurus,,3,贺兰山红尾鸲 (Phoenicurus alaschanicus); 白喉红尾鸲 (Phoenicurus schisticeps); 黑喉红尾鸲 (Phoenicurus hodgsoni)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Fulvetta,,3,中华雀鹛 (Fulvetta striaticollis); 路德雀鹛 (Fulvetta ludlowi); 玉山雀鹛 (Fulvetta formosana)
Passeriformes,雀形目,Prunellidae,Accentors,,Prunella,,3,高原岩鹨 (Prunella himalayana); 栗背岩鹨 (Prunella immaculata); 贺兰山岩鹨 (Prunella koslowi)
Passeriformes,雀形目,Zosteropidae,"White-eyes, Yuhinas, and Allies",,Yuhina,,3,黑颏凤鹛 (Yuhina nigrimenta); 褐头凤鹛 (Yuhina brunneiceps); 白项凤鹛 (Yuhina bakeri)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Gyps,,2,白背兀鹫 (Gyps bengalensis); 高山兀鹫 (Gyps himalayensis)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Haliaeetus,,2,玉带海雕 (Haliaeetus leucoryphus); 虎头海雕 (Haliaeetus pelagicus)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Anser,,2,鸿雁 (Anser cygnoides); 小白额雁 (Anser erythropus)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Cygnus,,2,疣鼻天鹅 (Cygnus olor); 大天鹅 (Cygnus cygnus)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Mergus,,2,红胸秋沙鸭 (Mergus serrator); 中华秋沙鸭 (Mergus squamatus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Chroicocephalus,,2,红嘴鸥 (Chroicocephalus ridibundus); 棕头鸥 (Chroicocephalus brunnicephalus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Ichthyaetus,,2,渔鸥 (Ichthyaetus ichthyaetus); 遗鸥 (Ichthyaetus relictus)
