status,matchMethod,CBR row,CBR scientific name,CBR Chinese name,CBR English name,AviList scientific name used,AviList English name,candidate scientific names,CBR notes
matched_exact,scientificName,1416,Tarsiger formosanus,台湾白眉林鸲,Taiwan Bush Robin,Tarsiger formosanus,Taiwan Bush Robin,,将白眉林鸲的 formosanus亚种提升为独立种台湾白眉林鸲Tarsiger formosanus（Wei et al. 2022）
matched_exact,scientificName,1417,Tarsiger chrysaeus,金色林鸲,Golden Bush Robin,Tarsiger chrysaeus,Golden Bush Robin,,
matched_exact,scientificName,1418,Tarsiger johnstoniae,台湾林鸲,Collared Bush Robin,Tarsiger johnstoniae,Collared Bush Robin,,
matched_exact,scientificName,1419,Tarsiger hyperythrus,棕腹林鸲,Rufous-breasted Bush Robin,Tarsiger hyperythrus,Rufous-breasted Bush Robin,,
matched_exact,scientificName,1420,Tarsiger cyanurus,红胁蓝尾鸲,Orange-flanked Bluetail,Tarsiger cyanurus,Red-flanked Bluetail,,
matched_exact,scientificName,1421,Tarsiger albocoeruleus,祁连山蓝尾鸲,Qilian Blutetail,Tarsiger albocoeruleus,Qilian Bluetail,,将红胁蓝尾鸲的 albocoeruleus亚种提升为独立种祁连山蓝尾鸲Tarsiger albocoeruleus（Wei et al. 2022）
matched_exact,scientificName,1422,Tarsiger rufilatus,蓝眉林鸲,Himalayan Bluetail,Tarsiger rufilatus,Himalayan Bluetail,,
matched_exact,scientificName,1423,Heteroxenicus stellatus,栗背短翅鸫,Gould's Shortwing,Heteroxenicus stellatus,Gould's Shortwing,,
matched_exact,scientificName,1424,Phoenicurus erythronotus,红背红尾鸲,Eversmann's Redstart,Phoenicurus erythronotus,Eversmann's Redstart,,
matched_exact,scientificName,1425,Phoenicurus frontalis,蓝额红尾鸲,Blue-fronted Redstart,Phoenicurus frontalis,Blue-fronted Redstart,,
matched_exact,scientificName,1426,Phoenicurus coeruleocephala,蓝头红尾鸲,Blue-capped Redstart,Phoenicurus coeruleocephala,Blue-capped Redstart,,
matched_exact,scientificName,1427,Phoenicurus schisticeps,白喉红尾鸲,White-throated Redstart,Phoenicurus schisticeps,White-throated Redstart,,
matched_exact,scientificName,1428,Phoenicurus fuliginosus,红尾水鸲,Plumbeous Water Redstart,Phoenicurus fuliginosus,Plumbeous Water Redstart,,
matched_exact,scientificName,1429,Phoenicurus leucocephalus,白顶溪鸲,White-capped Water Redstart,Phoenicurus leucocephalus,White-capped Redstart,,
matched_exact,scientificName,1430,Phoenicurus alaschanicus,贺兰山红尾鸲,Ala Shan Redstart,Phoenicurus alaschanicus,Przevalski's Redstart,,
