status,Genus,Suggested Chinese genus name,Shared suffix,CBR species count,Example species,Method
accepted,Calandrella,短趾百灵属,短趾百灵,3,细嘴短趾百灵 (Calandrella acutirostris); 蒙古短趾百灵 (Calandrella dukhunensis); 大短趾百灵 (Calandrella brachydactyla),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Calcarius,,铁爪鹀,1,铁爪鹀 (Calcarius lapponicus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Calidris,,鹬,20,大滨鹬 (Calidris tenuirostris); 红腹滨鹬 (Calidris canutus); 流苏鹬 (Calidris pugnax); 阔嘴鹬 (Calidris falcinellus); 尖尾滨鹬 (Calidris acuminata); 高跷鹬 (Calidris himantopus); 弯嘴滨鹬 (Calidris ferruginea); 青脚滨鹬 (Calidris temminckii),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Callacanthis,,红眉金翅雀,1,红眉金翅雀 (Callacanthis burtoni),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Calliope,歌鸲属,歌鸲,5,黑喉歌鸲 (Calliope obscura); 金胸歌鸲 (Calliope pectardens); 红喉歌鸲 (Calliope calliope); 黑胸歌鸲 (Calliope pectoralis); 白须黑胸歌鸲 (Calliope tschebaiewi),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Calonectris,,白额鹱,1,白额鹱 (Calonectris leucomelas),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Caprimulgus,夜鹰属,夜鹰,5,普通夜鹰 (Caprimulgus jotaka); 欧夜鹰 (Caprimulgus europaeus); 埃及夜鹰 (Caprimulgus aegyptius); 长尾夜鹰 (Caprimulgus macrurus); 林夜鹰 (Caprimulgus affinis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Carduelis,,红额金翅雀,1,红额金翅雀 (Carduelis carduelis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Carpodacus,,雀,25,普通朱雀 (Carpodacus erythrinus); 血雀 (Carpodacus sipahi); 拟大朱雀 (Carpodacus rubicilloides); 大朱雀 (Carpodacus rubicilla); 喜山红腰朱雀 (Carpodacus grandis); 红腰朱雀 (Carpodacus rhodochlamys); 红眉朱雀 (Carpodacus pulcherrimus); 中华朱雀 (Carpodacus davidianus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Cecropis,,金腰燕,1,金腰燕 (Cecropis daurica),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Centropus,鸦鹃属,鸦鹃,2,褐翅鸦鹃 (Centropus sinensis); 小鸦鹃 (Centropus bengalensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Cephalopyrus,,火冠雀,1,火冠雀 (Cephalopyrus flammiceps),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
